随手记导出文件(headers:v5; iPhone; MyMoneyPro; 12.82.0; 20210422)
交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2021-02-06 12:33:27,行车交通,公共交通,,港币,HKD,10.20,,,,
支出,2021-02-05 22:31:33,食品酒水,晚餐,,港币,HKD,147.00,,,,
支出,2021-02-05 22:31:30,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-05 22:31:27,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-02-05 22:30:41,购物消费,宠物支出,,港币,HKD,320.00,,,,
支出,2021-02-05 18:14:52,食品酒水,晚餐,,港币,HKD,147.00,,,,
支出,2021-02-04 18:30:54,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-02-04 18:15:19,行车交通,公共交通,,港币,HKD,35.00,,,,
支出,2021-02-04 18:15:00,居家生活,医疗保险,,港币,HKD,1265.00,,,,
支出,2021-02-04 18:14:42,交流通讯,手机话费,,港币,HKD,156.00,,,,
支出,2021-02-04 10:40:58,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-04 10:40:54,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-02-03 23:20:43,购物消费,超市购物,,人民币,CNY,307.00,,,天猫超市,
支出,2021-02-03 22:38:39,食品酒水,晚餐,,港币,HKD,45.00,,,,
支出,2021-02-03 22:38:31,食品酒水,饮料酒水,,港币,HKD,60.00,,,烟,
支出,2021-02-03 22:38:26,食品酒水,晚餐,,港币,HKD,19.00,,,,
支出,2021-02-03 22:37:51,购物消费,超市购物,,港币,HKD,300.00,,,,
支出,2021-02-03 22:37:46,食品酒水,晚餐,,港币,HKD,54.00,,,,
支出,2021-02-03 15:51:00,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
